epoch,train_loss,test_loss
1,211.8275604248047,217.0253143310547
2,211.26611328125,216.83282470703125
3,211.09597778320312,216.6836395263672
4,210.86062622070312,216.44125366210938
5,210.6714630126953,216.16119384765625
6,210.3174591064453,215.81002807617188
7,210.12985229492188,215.35562133789062
8,209.52105712890625,214.80813598632812
9,208.97186279296875,214.1465301513672
10,208.49569702148438,213.33236694335938
11,207.50994873046875,212.4083251953125
12,206.42442321777344,211.2969970703125
13,205.2151641845703,210.45887756347656
14,204.41482543945312,208.7017059326172
15,202.8256072998047,207.17442321777344
16,201.95118713378906,206.2554931640625
17,200.31143188476562,204.1071014404297
18,198.11819458007812,202.16543579101562
19,196.2943572998047,200.44802856445312
20,194.50938415527344,198.09561157226562
21,192.63487243652344,196.18505859375
22,191.22750854492188,194.68814086914062
23,188.59567260742188,191.7393341064453
24,186.520751953125,189.69033813476562
25,184.6399688720703,187.4202423095703
26,181.720947265625,186.47462463378906
27,180.95907592773438,183.12924194335938
28,178.0841522216797,180.5541229248047
29,175.95579528808594,178.25865173339844
30,173.84339904785156,176.01824951171875
31,171.85711669921875,173.88494873046875
32,169.8026580810547,171.79617309570312
33,167.9011993408203,170.1688690185547
34,166.376953125,168.3844757080078
35,165.09103393554688,166.3538360595703
36,162.84622192382812,164.4392852783203
37,160.92027282714844,163.0094757080078
38,159.52505493164062,161.56105041503906
39,158.85633850097656,160.03858947753906
40,157.3225860595703,158.90464782714844
41,156.01446533203125,158.0086212158203
42,155.09487915039062,156.55010986328125
43,154.4614715576172,156.29966735839844
44,153.41775512695312,154.8499298095703
45,152.5684356689453,157.84019470214844
46,153.52320861816406,153.71966552734375
47,151.4144744873047,154.18670654296875
48,151.4547882080078,152.53016662597656
49,151.11126708984375,152.52769470214844
50,150.73501586914062,152.02769470214844
51,150.11270141601562,152.50747680664062
52,149.82154846191406,151.0017852783203
53,149.84527587890625,150.830322265625
54,149.90614318847656,150.56723022460938
55,149.33628845214844,152.01797485351562
56,149.02850341796875,150.61326599121094
57,148.9215850830078,150.1263427734375
58,148.63299560546875,151.02366638183594
59,148.92108154296875,150.87210083007812
60,148.4945831298828,149.82546997070312
61,148.45936584472656,149.67433166503906
62,148.12660217285156,150.1166229248047
63,148.40196228027344,149.54083251953125
64,148.1962890625,150.33212280273438
65,148.09640502929688,152.038818359375
66,148.59228515625,149.3862762451172
67,148.23052978515625,149.35708618164062
68,148.2168731689453,149.25611877441406
69,147.98741149902344,149.17007446289062
70,147.72698974609375,149.5408172607422
71,147.888916015625,150.3879852294922
72,148.07418823242188,150.4009246826172
73,148.43618774414062,149.13697814941406
74,148.10328674316406,149.12237548828125
75,147.93251037597656,148.99124145507812
76,147.97499084472656,149.33285522460938
77,148.07659912109375,149.1960906982422
78,147.84535217285156,148.85467529296875
79,147.7964324951172,149.52293395996094
80,147.7694854736328,148.77928161621094
81,147.3919219970703,148.7545166015625
82,147.701904296875,151.42051696777344
83,149.4900360107422,150.25559997558594
84,148.86871337890625,148.73902893066406
85,147.75621032714844,148.9984893798828
86,147.5133819580078,148.5525360107422
87,148.0883026123047,148.5111541748047
88,147.2772674560547,148.4326629638672
89,147.25706481933594,148.4905242919922
90,147.41421508789062,148.82220458984375
91,147.50555419921875,148.2764129638672
92,146.86744689941406,148.29806518554688
93,146.93597412109375,148.92701721191406
94,147.08883666992188,148.16395568847656
95,146.97120666503906,148.0973663330078
96,146.71080017089844,148.0493927001953
97,147.0442352294922,148.02003479003906
98,146.66908264160156,147.98321533203125
99,146.66586303710938,148.60801696777344
100,146.85809326171875,148.49798583984375
101,146.7212371826172,147.87229919433594
102,146.63536071777344,147.822998046875
103,146.595703125,148.98745727539062
104,146.86459350585938,148.6005401611328
105,147.0456085205078,148.1733856201172
106,146.63885498046875,148.14247131347656
107,146.33253479003906,147.78042602539062
108,146.47506713867188,148.9297332763672
109,146.98233032226562,147.8672332763672
110,146.7450408935547,147.50375366210938
111,146.4922637939453,147.60406494140625
112,146.24696350097656,148.45016479492188
113,147.00791931152344,148.233154296875
114,146.43405151367188,147.37037658691406
115,146.46533203125,147.3319549560547
116,146.3916778564453,148.02883911132812
117,146.31051635742188,148.22581481933594
118,146.3597869873047,148.15841674804688
119,146.5746307373047,147.52354431152344
120,146.10174560546875,147.2182159423828
121,145.80580139160156,147.17503356933594
122,146.07908630371094,147.880859375
123,146.6015167236328,148.08676147460938
124,146.19483947753906,147.09095764160156
125,146.08717346191406,147.63096618652344
126,145.82545471191406,147.90480041503906
127,146.3570098876953,147.08746337890625
128,145.71017456054688,147.0697479248047
129,145.87838745117188,146.97836303710938
130,145.73768615722656,146.77276611328125
131,145.38470458984375,146.6868438720703
132,145.43447875976562,146.65443420410156
133,145.40438842773438,146.6139373779297
134,145.63356018066406,146.7418212890625
135,145.87088012695312,146.54818725585938
136,145.34486389160156,147.46116638183594
